BHK,Size,Floor,Area Locality,City,Bathroom,N_11,N_12,N_13,N_14,N_15,N_16,N_17,N_18,N_19,N_20,N_21,N_22,Rent
1,565,20,945,5,2,0,0,1,1,0,0,0,1,0,0,0,1,28500
3,2000,241,163,5,4,0,0,1,0,1,0,0,1,0,1,0,0,100000
4,1358,241,1116,5,4,0,1,0,0,1,0,0,0,1,1,0,0,270000
2,661,151,1710,5,2,0,1,0,0,1,0,0,1,0,1,0,0,38000
1,450,432,1664,5,2,0,1,0,0,0,1,0,0,1,1,0,0,26000
3,1300,368,650,5,3,0,1,0,0,0,1,1,0,0,1,0,0,70000
2,600,316,2061,5,2,0,1,0,1,0,0,0,0,1,1,0,0,41000
2,900,457,1162,5,3,0,0,1,0,1,0,0,1,0,0,0,1,27000
1,379,217,734,5,1,0,1,0,0,1,0,1,0,0,1,0,0,53000
2,805,419,161,5,3,0,1,0,0,1,0,0,0,1,1,0,0,65000
1,650,275,1179,5,2,0,0,1,1,0,0,0,1,0,0,0,1,85000
1,500,400,1328,5,2,0,0,1,0,1,0,0,1,0,0,0,1,6000
1,480,348,1814,5,2,0,1,0,1,0,0,0,0,1,1,0,0,43000
2,550,19,515,5,2,0,0,1,0,1,0,0,1,0,0,0,1,65000
3,1600,332,224,5,3,0,1,0,1,0,0,0,1,0,1,0,0,280000
3,1400,301,763,5,2,0,1,0,0,1,0,0,0,1,1,0,0,98000
3,1500,214,785,5,2,0,1,0,0,1,0,0,1,0,1,0,0,330000
3,1050,273,74,5,3,0,1,0,0,0,1,1,0,0,1,0,0,65000
3,920,299,627,5,3,0,1,0,0,0,1,0,0,1,1,0,0,85000
1,450,403,54,5,1,0,1,0,0,1,0,0,1,0,1,0,0,40000
1,440,457,2183,5,1,0,1,0,0,1,0,1,0,0,1,0,0,23000
3,932,275,628,5,3,0,0,1,0,0,1,0,1,0,0,0,1,55000
1,270,107,2166,5,2,0,1,0,0,0,1,1,0,0,0,0,1,15000
1,379,223,734,5,2,0,1,0,0,1,0,1,0,0,1,0,0,52000
2,582,349,1127,5,2,0,1,0,1,0,0,0,0,1,0,0,1,13000
2,800,371,1471,5,2,0,1,0,0,1,0,0,1,0,1,0,0,95000
1,444,385,1905,5,2,0,1,0,0,0,1,0,1,0,1,0,0,25000
1,428,68,640,5,1,0,1,0,0,0,1,0,1,0,1,0,0,21000
5,1880,56,1708,5,4,0,1,0,1,0,0,0,0,1,1,0,0,360000
2,888,340,1829,5,2,0,1,0,0,1,0,0,1,0,1,0,0,60000
1,490,461,284,5,1,0,0,1,0,0,1,0,1,0,0,0,1,19000
3,937,251,1835,5,4,0,1,0,0,0,1,0,0,1,1,0,0,140000
2,710,68,643,5,2,0,1,0,0,0,1,0,0,1,1,0,0,30000
4,1617,125,161,5,5,0,1,0,0,1,0,0,1,0,1,0,0,130000
2,836,365,1946,5,2,0,1,0,0,0,1,0,1,0,1,0,0,80000
2,1200,292,434,5,3,0,1,0,0,1,0,0,1,0,1,0,0,85000
2,950,435,2118,5,2,0,1,0,1,0,0,0,1,0,1,0,0,65000
1,460,35,429,5,2,0,1,0,0,1,0,0,1,0,1,0,0,33000
1,585,26,1430,5,2,0,0,1,0,1,0,0,1,0,1,0,0,36000
2,550,202,1755,5,2,0,1,0,1,0,0,0,0,1,1,0,0,22000
1,375,432,1703,5,1,0,1,0,0,0,1,0,1,0,1,0,0,17000
2,700,31,1621,5,2,0,1,0,1,0,0,0,1,0,1,0,0,55000
2,750,203,1925,5,2,0,1,0,0,0,1,0,0,1,1,0,0,66000
4,2000,369,440,5,4,0,1,0,1,0,0,0,0,1,1,0,0,140000
4,2046,222,1422,5,5,0,1,0,0,1,0,0,1,0,1,0,0,260000
2,750,274,1849,5,2,0,0,1,0,1,0,0,1,0,0,0,1,32000
2,730,337,1613,5,2,0,1,0,0,0,1,0,0,1,1,0,0,45000
2,750,31,721,5,2,0,1,0,0,1,0,0,1,0,1,0,0,50000
1,229,350,2099,5,1,0,0,1,0,1,0,0,1,0,0,0,1,18500
2,910,30,1677,5,2,0,1,0,0,0,1,1,0,0,1,0,0,51000
4,1648,219,1834,5,5,0,1,0,0,1,0,0,1,0,1,0,0,140000
3,1100,327,73,5,3,0,1,0,0,0,1,0,0,1,1,0,0,80000
1,560,198,627,5,2,0,1,0,0,0,1,1,0,0,1,0,0,30000
2,850,314,114,5,2,0,1,0,0,0,1,0,1,0,1,0,0,85000
1,450,198,455,5,1,0,0,1,0,0,1,0,0,1,0,0,1,15000
2,820,393,1612,5,2,0,1,0,0,1,0,0,1,0,1,0,0,50000
2,750,31,2012,5,2,0,1,0,0,0,1,0,1,0,1,0,0,60000
1,410,315,1261,5,1,0,1,0,0,0,1,0,1,0,1,0,0,23000
1,490,67,992,5,2,0,1,0,0,0,1,0,1,0,0,0,1,14500
2,700,44,427,5,2,0,1,0,0,0,1,0,1,0,1,0,0,40000
5,3000,400,999,5,5,0,1,0,0,1,0,0,1,0,1,0,0,650000
1,560,19,2136,5,1,0,1,0,1,0,0,0,1,0,1,0,0,80000
2,650,408,2138,5,2,0,1,0,0,0,1,0,1,0,1,0,0,55000
1,520,196,2188,5,1,0,0,1,0,1,0,0,1,0,0,0,1,12000
2,850,424,549,5,2,0,1,0,0,0,1,0,1,0,1,0,0,45000
2,777,174,728,5,2,0,1,0,1,0,0,0,1,0,1,0,0,90000
2,771,123,918,5,2,0,1,0,0,0,1,0,1,0,1,0,0,43000
1,400,274,1261,5,1,0,1,0,0,0,1,0,1,0,1,0,0,22000
2,600,396,1227,5,2,0,1,0,1,0,0,0,0,1,1,0,0,20000
1,390,477,665,5,2,0,1,0,0,1,0,0,1,0,1,0,0,26000
4,3200,198,333,5,4,0,1,0,1,0,0,0,1,0,1,0,0,850000
1,450,332,682,5,2,0,1,0,1,0,0,0,1,0,1,0,0,34999
1,500,391,1545,5,2,0,0,1,0,1,0,0,1,0,0,0,1,35000
1,410,356,453,5,1,0,1,0,0,1,0,0,1,0,1,0,0,50000
1,160,196,1093,5,1,0,1,0,0,0,1,0,1,0,0,0,1,16000
2,750,26,378,5,2,0,1,0,0,0,1,0,1,0,1,0,0,55000
1,585,274,371,5,2,0,0,1,0,0,1,0,0,1,1,0,0,39000
1,350,191,629,5,1,0,1,0,1,0,0,0,1,0,0,0,1,25000
1,490,274,945,5,2,0,0,1,0,1,0,0,1,0,0,0,1,25000
2,650,336,869,5,2,0,1,0,0,0,1,0,0,1,1,0,0,49500
1,225,366,1132,5,1,0,1,0,0,0,1,0,1,0,0,0,1,21000
2,850,333,1470,5,2,0,1,0,0,1,0,0,1,0,1,0,0,110000
1,385,458,2190,5,1,0,0,1,0,0,1,0,1,0,0,0,1,21000
2,800,202,1263,5,2,0,1,0,0,0,1,0,0,1,1,0,0,46700
4,2500,332,224,5,4,0,1,0,1,0,0,0,1,0,1,0,0,400000
4,1526,399,1117,5,5,0,1,0,0,1,0,0,1,0,1,0,0,280000
1,300,254,1062,5,1,0,0,1,0,0,1,0,1,0,0,0,1,18000
3,1800,25,1723,5,3,0,0,1,0,1,0,0,1,0,1,0,0,80000
2,800,340,936,5,2,0,1,0,0,1,0,0,1,0,1,0,0,88000
3,890,208,1427,5,2,0,1,0,1,0,0,0,0,1,1,0,0,90000
2,700,97,1880,5,2,0,1,0,0,0,1,0,1,0,1,0,0,38000
1,465,269,2180,5,1,0,0,1,0,1,0,1,0,0,0,0,1,20000
2,900,416,1225,5,2,0,1,0,1,0,0,0,0,1,1,0,0,140000
3,1073,410,1615,5,3,0,1,0,0,1,0,0,1,0,1,0,0,78000
1,450,315,387,5,1,0,0,1,0,0,1,0,1,0,0,0,1,21000
3,1350,406,1633,5,3,0,1,0,1,0,0,0,1,0,1,0,0,95000
2,800,349,217,5,2,0,1,0,1,0,0,0,1,0,1,0,0,90000
2,600,315,1840,5,2,0,1,0,0,0,1,1,0,0,1,0,0,34000
2,650,335,1871,5,2,0,1,0,0,0,1,0,1,0,1,0,0,55000
2,550,266,453,5,2,0,1,0,1,0,0,1,0,0,1,0,0,52000
1,840,407,355,5,2,0,1,0,0,0,1,0,1,0,1,0,0,74999
3,1121,279,440,5,2,0,1,0,1,0,0,0,1,0,1,0,0,75000
2,650,187,1940,5,2,0,1,0,0,0,1,0,1,0,1,0,0,45000
1,575,90,947,5,1,0,0,1,0,0,1,0,1,0,0,0,1,22000
1,475,269,113,5,1,0,0,1,1,0,0,0,1,0,0,0,1,32000
2,830,433,792,5,2,0,1,0,0,1,0,0,1,0,1,0,0,34000
3,1337,249,1425,5,3,0,1,0,0,1,0,0,1,0,1,0,0,170000
1,420,348,1890,5,2,0,1,0,0,1,0,0,1,0,1,0,0,23000
1,310,460,1181,5,1,0,1,0,0,0,1,1,0,0,1,0,0,20000
3,1800,187,999,5,4,0,1,0,1,0,0,0,0,1,1,0,0,350000
3,967,101,1700,5,3,0,1,0,1,0,0,0,1,0,1,0,0,90000
1,505,298,638,5,1,0,1,0,0,1,0,0,1,0,1,0,0,55000
1,275,274,327,5,1,0,0,1,0,0,1,0,1,0,0,0,1,15000
2,640,215,1159,5,2,0,1,0,0,1,0,0,0,1,1,0,0,22000
3,1500,33,577,5,3,0,1,0,0,1,0,0,1,0,1,0,0,60000
2,850,33,1091,5,2,0,1,0,0,1,0,0,1,0,1,0,0,49000
2,900,72,365,5,2,0,1,0,0,1,0,0,1,0,1,0,0,34000
1,430,370,301,5,2,0,1,0,1,0,0,0,1,0,1,0,0,24000
4,1649,165,32,5,3,0,1,0,0,1,0,0,0,1,1,0,0,270000
3,1100,71,378,5,3,0,1,0,0,0,1,0,1,0,1,0,0,69000
3,1200,102,2145,5,3,0,1,0,0,1,0,0,1,0,1,0,0,120000
2,680,340,593,5,2,0,1,0,0,0,1,0,0,1,1,0,0,32000
2,600,348,382,5,2,0,1,0,0,1,0,1,0,0,0,0,1,24000
4,1560,66,2170,5,4,0,1,0,0,0,1,0,1,0,1,0,0,100000
5,4500,388,224,5,5,0,1,0,1,0,0,1,0,0,1,0,0,600000
2,771,213,918,5,2,0,1,0,0,0,1,0,1,0,1,0,0,45000
2,800,390,729,5,2,0,1,0,0,1,0,0,1,0,1,0,0,80000
2,800,334,1246,5,2,0,0,1,0,1,0,1,0,0,1,0,0,37000
3,1425,440,1983,5,4,0,1,0,1,0,0,1,0,0,1,0,0,210000
4,1750,337,637,5,4,0,1,0,0,1,0,0,1,0,1,0,0,190000
1,475,44,627,5,2,0,1,0,0,0,1,1,0,0,1,0,0,25000
4,2000,246,2095,5,5,0,1,0,0,0,1,1,0,0,1,0,0,210000
3,1375,126,1614,5,3,0,1,0,0,1,0,0,0,1,1,0,0,200000
5,2800,181,1260,5,5,0,1,0,0,1,0,0,1,0,1,0,0,310000
1,650,14,1896,5,1,0,0,1,0,1,0,0,1,0,0,0,1,26000
2,600,156,1704,5,2,0,1,0,0,0,1,1,0,0,1,0,0,27000
1,649,266,2038,5,1,0,0,1,0,0,1,0,1,0,0,0,1,26000
2,950,203,664,5,2,0,1,0,1,0,0,1,0,0,1,0,0,60000
1,225,396,147,5,1,0,1,0,0,0,1,0,0,1,0,0,1,12000
2,1000,354,1179,5,2,0,1,0,1,0,0,0,1,0,1,0,0,180000
1,330,89,1180,5,1,0,1,0,1,0,0,0,0,1,1,0,0,30000
3,1200,404,999,5,3,0,1,0,1,0,0,0,1,0,1,0,0,100000
3,1270,126,1111,5,3,0,1,0,0,1,0,1,0,0,1,0,0,140000
3,920,95,1728,5,3,0,1,0,0,0,1,0,1,0,1,0,0,70000
2,630,305,1719,5,2,0,1,0,0,0,1,0,0,1,1,0,0,20000
2,670,298,1556,5,2,0,1,0,1,0,0,0,0,1,1,0,0,22000
1,450,17,114,5,1,0,0,1,1,0,0,0,1,0,0,0,1,32000
1,265,370,1247,5,1,0,0,1,0,0,1,0,1,0,0,0,1,20000
2,600,423,878,5,2,0,1,0,0,1,0,0,1,0,1,0,0,50000
2,670,396,83,5,2,0,1,0,0,0,1,0,0,1,0,0,1,29000
2,650,29,378,5,2,0,1,0,0,1,0,0,1,0,1,0,0,45000
1,422,427,1335,5,2,0,1,0,0,1,0,0,0,1,1,0,0,6500
2,955,411,1137,5,2,0,1,0,0,0,1,0,1,0,1,0,0,55000
3,1100,357,1061,5,3,0,1,0,1,0,0,0,1,0,1,0,0,69999
1,300,269,813,5,1,0,1,0,0,0,1,1,0,0,0,0,1,18500
2,900,337,490,5,2,0,1,0,0,1,0,0,1,0,0,0,1,50000
2,785,202,363,5,2,0,1,0,0,0,1,1,0,0,1,0,0,45000
3,1350,210,680,5,3,0,1,0,1,0,0,0,0,1,1,0,0,85000
2,900,247,1712,5,2,0,1,0,0,1,0,0,1,0,1,0,0,85000
1,400,159,2145,5,1,0,1,0,0,0,1,1,0,0,1,0,0,25000
2,800,172,1812,5,3,0,1,0,0,1,0,1,0,0,1,0,0,75000
2,895,282,785,5,2,0,1,0,0,1,0,0,1,0,1,0,0,190000
1,625,24,455,5,1,0,0,1,0,1,0,0,1,0,0,0,1,20000
2,720,334,1762,5,2,0,1,0,0,1,0,0,1,0,1,0,0,30000
2,750,299,2036,5,2,0,1,0,1,0,0,0,1,0,1,0,0,75000
3,1663,183,786,5,2,0,1,0,0,1,0,0,1,0,1,0,0,350000
2,660,459,173,5,2,0,1,0,0,1,0,0,1,0,1,0,0,70000
2,700,460,1140,5,2,0,1,0,1,0,0,0,1,0,1,0,0,32000
1,377,264,1904,5,2,0,0,1,0,0,1,0,1,0,0,0,1,22000
2,650,347,1970,5,2,0,1,0,0,1,0,0,0,1,1,0,0,35000
2,650,348,3,5,2,0,1,0,0,0,1,0,1,0,1,0,0,47000
4,2080,286,785,5,5,0,1,0,0,1,0,0,1,0,1,0,0,400000
2,700,203,1736,5,2,0,0,1,0,1,0,0,1,0,0,0,1,31000
1,430,19,224,5,1,0,1,0,1,0,0,0,1,0,1,0,0,60000
2,650,115,1068,5,2,0,1,0,0,0,1,0,0,1,1,0,0,58000
3,890,308,1427,5,2,0,1,0,1,0,0,0,1,0,1,0,0,85000
2,965,178,280,5,2,0,0,1,0,0,1,0,1,0,1,0,0,45000
1,630,256,1921,5,2,0,0,1,0,1,0,0,1,0,1,0,0,7500
4,2100,290,319,5,4,0,1,0,0,1,0,0,1,0,1,0,0,250000
3,1100,428,190,5,3,0,1,0,1,0,0,0,0,1,1,0,0,150000
2,730,314,1520,5,2,0,1,0,0,1,0,0,1,0,0,0,1,80000
3,1380,434,1971,5,3,0,1,0,0,1,0,0,1,0,1,0,0,75000
3,1100,145,1829,5,3,0,1,0,0,1,0,0,1,0,1,0,0,66000
1,450,348,1170,5,1,0,1,0,0,1,0,1,0,0,1,0,0,45000
1,500,269,1146,5,1,0,0,1,0,0,1,0,1,0,0,0,1,22000
3,1100,432,1613,5,3,0,1,0,0,1,0,1,0,0,1,0,0,65000
3,868,433,1453,5,3,0,1,0,0,0,1,0,0,1,1,0,0,55000
2,750,359,1446,5,2,0,1,0,0,1,0,0,1,0,1,0,0,55000
1,540,196,2185,5,2,0,0,1,0,0,1,0,1,0,0,0,1,36000
4,2100,218,731,5,5,0,1,0,1,0,0,0,0,1,1,0,0,230000
1,450,315,383,5,2,0,1,0,0,1,0,0,0,1,1,0,0,22000
3,1600,242,433,5,4,0,1,0,0,1,0,0,0,1,1,0,0,170000
1,560,274,1807,5,2,0,0,1,0,1,0,1,0,0,0,0,1,34000
1,500,196,798,5,1,0,1,0,0,0,1,1,0,0,1,0,0,45000
1,305,194,946,5,1,0,1,0,0,0,1,0,1,0,1,0,0,14000
3,970,14,1490,5,2,0,1,0,1,0,0,0,1,0,0,0,1,75000
1,480,311,1955,5,1,0,1,0,0,0,1,0,1,0,0,0,1,7000
2,720,18,2171,5,2,0,1,0,0,1,0,0,1,0,1,0,0,55000
2,950,378,2049,5,2,0,1,0,0,1,0,0,0,1,1,0,0,55000
4,3200,229,1072,5,4,0,1,0,1,0,0,0,1,0,1,0,0,700000
3,1450,168,732,5,3,0,1,0,1,0,0,0,0,1,1,0,0,140000
2,774,31,1130,5,2,0,1,0,0,1,0,0,0,1,1,0,0,42000
1,450,196,114,5,1,0,0,1,0,0,1,0,0,1,1,0,0,27000
3,1000,2,1181,5,3,0,1,0,0,1,0,1,0,0,1,0,0,60000
1,340,20,649,5,1,0,0,1,0,1,0,0,1,0,0,0,1,17000
1,430,97,1861,5,2,0,1,0,0,1,0,0,1,0,1,0,0,30000
2,722,315,72,5,2,0,1,0,0,0,1,0,1,0,1,0,0,45000
3,1152,68,888,5,2,0,1,0,1,0,0,0,1,0,1,0,0,90000
1,641,275,328,5,1,0,0,1,0,0,1,0,1,0,0,0,1,25000
2,810,297,2110,5,2,0,1,0,1,0,0,0,1,0,1,0,0,70000
2,800,347,2101,5,2,0,1,0,1,0,0,0,0,1,1,0,0,90000
2,875,62,224,5,2,0,1,0,0,0,1,0,1,0,1,0,0,110000
2,700,411,1197,5,2,0,0,1,0,0,1,0,0,1,0,0,1,20000
1,420,456,2177,5,1,0,0,1,0,1,0,0,1,0,0,0,1,35000
3,1400,10,626,5,3,0,1,0,1,0,0,0,1,0,0,0,1,80000
2,758,71,1067,5,2,0,1,0,0,1,0,0,1,0,1,0,0,54500
4,2880,323,1126,5,5,0,1,0,0,0,1,1,0,0,1,0,0,350000
1,480,396,1814,5,2,0,1,0,1,0,0,0,1,0,1,0,0,45000
1,550,354,1867,5,2,0,1,0,0,0,1,1,0,0,1,0,0,38000
2,900,374,1125,5,2,0,1,0,0,1,0,1,0,0,1,0,0,90000
1,400,411,300,5,1,0,0,1,0,0,1,0,1,0,0,0,1,22000
2,760,434,1068,5,2,0,1,0,0,1,0,0,1,0,1,0,0,70000
4,2800,293,2144,5,5,0,1,0,0,0,1,1,0,0,1,0,0,380000
1,400,32,733,5,1,0,1,0,0,1,0,0,1,0,1,0,0,50000
4,1962,156,999,5,5,0,1,0,0,1,0,0,1,0,1,0,0,680000
3,1100,356,2136,5,3,0,1,0,0,1,0,0,1,0,1,0,0,140000
2,800,14,2181,5,2,0,0,1,0,1,0,0,1,0,0,0,1,40000
2,590,380,1721,5,2,0,1,0,0,0,1,0,0,1,1,0,0,32000
2,600,96,114,5,2,0,1,0,0,1,0,0,1,0,1,0,0,78000
4,2500,233,320,5,6,0,1,0,0,1,0,0,1,0,1,0,0,280000
2,670,145,387,5,2,0,1,0,0,0,1,0,1,0,1,0,0,45000
2,960,141,512,5,2,0,1,0,0,1,0,0,1,0,1,0,0,65000
2,1500,311,2191,5,3,0,0,1,0,1,0,0,1,0,0,0,1,65000
1,500,17,628,5,1,0,0,1,0,1,0,0,1,0,0,0,1,35000
3,1120,417,440,5,2,0,1,0,1,0,0,0,0,1,1,0,0,90000
4,2729,208,1068,5,5,0,1,0,0,1,0,1,0,0,1,0,0,250000
3,3354,452,1953,0,3,0,1,0,1,0,0,0,1,0,1,0,0,70000
2,800,269,1315,0,2,0,0,1,0,1,0,0,1,0,0,0,1,10500
2,1000,457,970,0,2,0,0,1,0,1,0,0,1,0,0,0,1,13000
2,1040,311,346,0,2,0,0,1,1,0,0,0,1,0,0,0,1,17000
3,1403,16,399,0,3,0,0,1,0,1,0,0,1,0,0,0,1,21000
2,600,269,1954,0,1,0,0,1,1,0,0,0,1,0,0,0,1,10000
4,2608,16,1190,0,3,0,1,0,0,1,0,1,0,0,1,0,0,61500
2,850,14,1644,0,2,0,1,0,0,1,0,0,0,1,1,0,0,13000
1,400,10,1624,0,1,0,0,1,0,0,1,0,1,0,0,0,1,7500
2,1000,269,1460,0,2,0,0,1,0,1,0,0,1,0,0,0,1,17000
3,1350,334,982,0,3,0,1,0,0,1,0,1,0,0,0,0,1,25000
2,800,10,1645,0,2,0,1,0,0,1,0,0,1,0,0,0,1,10500
1,350,266,1981,0,1,0,0,1,0,1,0,0,1,0,0,0,1,8000
1,900,454,810,0,1,0,0,1,0,1,0,0,1,0,0,0,1,9500
3,2000,10,229,0,3,0,1,0,0,1,0,0,1,0,1,0,0,50000
2,700,16,2107,0,2,0,0,1,0,1,0,0,1,0,0,0,1,13000
1,600,16,2229,0,1,0,0,1,0,1,0,0,1,0,0,0,1,13500
2,700,446,2129,0,1,0,1,0,0,1,0,0,1,0,0,0,1,13000
1,600,198,346,0,1,0,0,1,0,1,0,1,0,0,1,0,0,15000
2,1400,446,1645,0,3,0,0,1,1,0,0,0,1,0,0,0,1,15000
1,600,456,889,0,1,0,0,1,0,0,1,0,1,0,0,0,1,7000
2,770,415,2019,0,2,0,0,1,1,0,0,0,1,0,0,0,1,25000
2,900,10,184,0,2,0,1,0,0,1,0,0,0,1,0,0,1,17000
1,500,456,1056,0,1,0,0,1,1,0,0,0,1,0,0,0,1,7500
2,1100,10,1416,0,2,0,0,1,0,0,1,0,1,0,0,0,1,15000
1,500,10,205,0,1,0,0,1,0,1,0,0,1,0,0,0,1,7500
3,1260,454,2087,0,3,0,0,1,1,0,0,0,1,0,0,0,1,25000
3,1750,198,840,0,3,0,1,0,0,1,0,0,1,0,1,0,0,54000
1,600,14,1232,0,1,0,1,0,0,1,0,1,0,0,1,0,0,14500
1,450,456,1372,0,1,0,0,1,0,1,0,0,1,0,0,0,1,4500
2,800,269,2154,0,1,0,0,1,0,1,0,0,1,0,0,0,1,10500
1,400,454,739,0,1,0,0,1,0,0,1,0,1,0,0,0,1,5500
2,600,10,631,0,2,0,1,0,0,0,1,1,0,0,0,0,1,16000
1,400,454,1943,0,1,0,0,1,0,0,1,0,1,0,0,0,1,7000
2,900,456,1645,0,2,0,0,1,1,0,0,0,1,0,0,0,1,12500
2,1200,457,858,0,1,0,0,1,0,1,0,0,1,0,0,0,1,10000
2,1045,10,1232,0,2,0,1,0,0,1,0,1,0,0,0,0,1,18000
3,1021,22,204,0,3,0,1,0,1,0,0,1,0,0,0,0,1,28000
3,1200,457,2179,0,2,0,0,1,0,0,1,0,1,0,0,0,1,12000
2,1000,14,559,0,1,0,1,0,0,0,1,0,1,0,0,0,1,13000
2,1280,187,710,0,2,0,1,0,1,0,0,0,1,0,1,0,0,50000
1,450,10,828,0,1,0,1,0,0,1,0,0,1,0,0,0,1,7000
2,450,196,608,0,2,0,0,1,0,0,1,0,1,0,0,0,1,30000
1,600,269,336,0,2,0,0,1,0,1,0,0,1,0,0,0,1,10000
2,800,196,1025,0,2,0,0,1,0,1,0,0,1,0,0,0,1,15000
1,500,198,244,0,1,0,0,1,0,0,1,0,1,0,0,0,1,7500
3,1680,387,865,0,3,0,0,1,0,1,0,0,1,0,1,0,0,45000
3,2000,228,710,0,3,0,1,0,0,1,0,1,0,0,1,0,0,65000
1,500,16,1033,0,1,0,1,0,0,1,0,1,0,0,1,0,0,12000
1,500,192,43,0,1,0,1,0,0,1,0,1,0,0,0,0,1,7000
1,800,196,1158,0,1,0,0,1,0,0,1,0,1,0,0,0,1,9000
2,1100,196,216,0,2,0,0,1,0,1,0,0,0,1,0,0,1,23000
2,1200,269,908,0,2,0,0,1,0,1,0,0,1,0,0,0,1,30000
1,500,196,1998,0,1,0,1,0,0,0,1,0,1,0,0,0,1,8000
2,1155,269,877,0,2,0,0,1,0,1,0,0,0,1,0,0,1,16000
1,440,269,558,0,1,0,0,1,0,1,0,0,1,0,0,0,1,7500
2,1040,19,1790,0,2,0,1,0,0,1,0,0,1,0,1,0,0,20000
4,2900,386,2232,0,4,0,1,0,1,0,0,1,0,0,1,0,0,110000
3,1200,10,1323,0,2,0,0,1,0,1,0,0,1,0,0,0,1,30000
3,1600,196,803,0,3,0,0,1,0,1,0,0,0,1,1,0,0,20000
4,3150,409,213,0,4,0,1,0,0,0,1,1,0,0,0,0,1,84000
2,1000,198,811,0,2,0,0,1,0,1,0,0,1,0,0,0,1,17000
2,1200,10,1249,0,2,0,0,1,0,1,0,0,1,0,0,0,1,15000
1,400,312,559,0,1,0,0,1,0,1,0,0,1,0,0,0,1,6000
2,950,1,1645,0,3,0,1,0,1,0,0,0,1,0,0,0,1,16000
2,530,14,342,0,1,0,1,0,0,1,0,0,1,0,0,0,1,9500
1,300,454,2020,0,1,0,1,0,0,0,1,0,1,0,0,0,1,8000
2,1000,456,531,0,2,0,0,1,0,1,0,0,1,0,0,0,1,15000
1,450,266,334,0,1,0,0,1,0,0,1,0,1,0,0,0,1,12000
1,600,446,850,0,1,0,1,0,0,1,0,1,0,0,0,0,1,10000
2,1100,198,843,0,2,0,0,1,0,0,1,0,1,0,0,0,1,16000
1,400,16,367,0,1,0,0,1,0,0,1,0,1,0,0,0,1,11000
2,700,10,750,0,2,0,0,1,0,0,1,0,1,0,0,0,1,11000
2,1105,16,560,0,2,0,0,1,0,1,0,0,1,0,0,0,1,20000
3,1430,269,1912,0,2,0,0,1,0,1,0,0,1,0,0,0,1,24000
2,850,198,877,0,2,0,0,1,0,1,0,0,1,0,0,0,1,14500
1,650,10,342,0,1,0,0,1,0,0,1,0,1,0,0,0,1,4000
2,1200,454,979,0,2,0,0,1,0,0,1,0,1,0,0,0,1,12000
2,600,14,2090,0,2,0,0,1,0,0,1,0,1,0,0,0,1,8500
1,400,198,1300,0,1,0,1,0,0,1,0,0,1,0,0,0,1,9000
4,2800,457,1782,0,4,0,1,0,1,0,0,0,0,1,1,0,0,180000
2,1100,446,105,0,2,0,0,1,0,1,0,0,1,0,0,0,1,10500
2,900,17,559,0,2,0,0,1,0,0,1,1,0,0,0,0,1,12000
3,1300,198,757,0,2,0,0,1,0,1,0,0,1,0,0,0,1,32000
2,1000,446,746,0,3,0,0,1,0,1,0,0,1,0,0,0,1,15000
3,1000,10,2120,0,3,0,1,0,1,0,0,0,1,0,0,0,1,21000
2,900,446,185,0,2,0,1,0,0,0,1,0,1,0,1,0,0,12000
1,800,1,185,0,1,0,1,0,0,0,1,0,1,0,1,0,0,7000
2,750,14,767,0,2,0,0,1,0,0,1,0,1,0,0,0,1,15000
2,1100,200,1409,0,2,0,1,0,0,0,1,1,0,0,0,0,1,11400
2,1200,14,861,0,2,0,0,1,0,1,0,0,1,0,0,0,1,15000
2,1000,454,1667,0,2,0,1,0,0,1,0,0,1,0,1,0,0,19000
2,1000,311,709,0,2,0,1,0,0,1,0,1,0,0,1,0,0,27000
3,2000,198,582,0,3,0,1,0,0,1,0,0,1,0,1,0,0,48000
1,550,14,398,0,1,0,0,1,0,1,0,0,1,0,0,0,1,7000
2,1130,457,2232,0,2,0,0,1,0,0,1,0,0,1,0,0,1,15000
2,600,446,22,0,2,0,0,1,0,1,0,0,1,0,0,0,1,10000
1,100,10,397,0,1,0,1,0,0,1,0,0,1,0,0,0,1,7000
2,500,200,1253,0,1,0,0,1,0,1,0,0,1,0,0,0,1,9000
1,600,456,1624,0,1,0,0,1,0,0,1,0,1,0,0,0,1,8000
2,1200,17,1163,0,2,0,1,0,0,1,0,1,0,0,1,0,0,35000
2,850,10,308,0,2,0,0,1,0,1,0,0,1,0,0,0,1,16000
1,600,16,1143,0,1,0,0,1,0,0,1,0,1,0,0,0,1,4500
2,600,14,1878,0,1,0,0,1,0,0,1,0,1,0,0,0,1,16000
2,700,16,1321,0,1,0,0,1,0,1,0,0,1,0,0,0,1,10000
1,400,1,710,0,1,0,1,0,0,0,1,0,1,0,0,0,1,8000
1,400,269,1977,0,1,0,0,1,0,1,0,0,1,0,0,0,1,6000
2,1000,10,744,0,2,0,1,0,0,0,1,0,1,0,0,0,1,13000
2,1200,457,877,0,2,0,0,1,0,1,0,0,1,0,0,0,1,10000
3,1603,361,1155,0,3,0,1,0,0,1,0,0,1,0,1,0,0,55000
3,1200,454,191,0,3,0,0,1,0,1,0,0,0,1,0,0,1,15000
1,420,200,1302,0,1,0,1,0,0,1,0,0,1,0,1,0,0,12000
2,1200,269,651,0,2,0,0,1,0,1,0,0,1,0,0,0,1,9000
